"Task","Person","Rater","Score"
"1","1","1",NA
"1","2","1",NA
"1","3","1",NA
"1","4","1",NA
"1","5","1",NA
"1","6","1",NA
"1","7","1",NA
"1","8","1",NA
"1","9","1",NA
"1","10","1",NA
"1","1","2",NA
"1","2","2",NA
"1","3","2",NA
"1","4","2",NA
"1","5","2",NA
"1","6","2",NA
"1","7","2",NA
"1","8","2",NA
"1","9","2",NA
"1","10","2",NA
"1","1","3",5
"1","2","3",7
"1","3","3",3
"1","4","3",5
"1","5","3",9
"1","6","3",3
"1","7","3",7
"1","8","3",5
"1","9","3",8
"1","10","3",4
"1","1","4",5
"1","2","4",7
"1","3","4",3
"1","4","4",3
"1","5","4",7
"1","6","4",5
"1","7","4",7
"1","8","4",7
"1","9","4",8
"1","10","4",3
"2","1","5",5
"2","2","5",7
"2","3","5",5
"2","4","5",3
"2","5","5",7
"2","6","5",3
"2","7","5",7
"2","8","5",7
"2","9","5",6
"2","10","5",3
"2","1","6",3
"2","2","6",5
"2","3","6",3
"2","4","6",1
"2","5","6",7
"2","6","6",3
"2","7","6",5
"2","8","6",5
"2","9","6",6
"2","10","6",5
"2","1","7",4
"2","2","7",5
"2","3","7",3
"2","4","7",4
"2","5","7",3
"2","6","7",6
"2","7","7",5
"2","8","7",5
"2","9","7",6
"2","10","7",6
"2","1","8",5
"2","2","8",5
"2","3","8",5
"2","4","8",3
"2","5","8",7
"2","6","8",3
"2","7","8",7
"2","8","8",4
"2","9","8",5
"2","10","8",5
"3","1","9",6
"3","2","9",7
"3","3","9",6
"3","4","9",5
"3","5","9",2
"3","6","9",4
"3","7","9",5
"3","8","9",3
"3","9","9",5
"3","10","9",5
"3","1","10",7
"3","2","10",7
"3","3","10",5
"3","4","10",3
"3","5","10",7
"3","6","10",5
"3","7","10",5
"3","8","10",2
"3","9","10",8
"3","10","10",7
"3","1","11",3
"3","2","11",5
"3","3","11",1
"3","4","11",3
"3","5","11",5
"3","6","11",1
"3","7","11",5
"3","8","11",1
"3","9","11",1
"3","10","11",1
"3","1","12",3
"3","2","12",2
"3","3","12",6
"3","4","12",5
"3","5","12",3
"3","6","12",2
"3","7","12",4
"3","8","12",1
"3","9","12",1
"3","10","12",1
