Person,Subtest,Item,Score,Rater,Ocasion,trait1,trait2
1,1,1,4,1,1,-0.04047904648182988,-0.38944105088703923
2,1,1,2,2,1,0.8076910434176612,-0.12856989497698637
3,1,1,2,1,1,0.29823342972754124,0.8503640571247304
4,1,1,1,2,1,1.8306674940424643,-1.0797908312120283
5,1,1,3,1,1,0.344447065774662,0.12314064688649635
6,1,1,1,2,1,-0.5093774692823193,-1.0157383884887534
7,1,1,3,1,1,0.6778458998285122,-0.30069297326011585
8,1,1,0,2,1,-0.11359484010037536,-0.6876893032233766
1,1,2,5,1,1,-0.5920745578507085,-0.04756624672508643
2,1,2,1,2,1,0.12684174206855797,-1.9503557791988904
3,1,2,4,1,1,-0.8284289334596314,-0.17730556892114419
4,1,2,3,2,1,0.34592911458134434,0.5440599195746256
5,1,2,3,1,1,0.7225492500094272,-0.18190078119837988
6,1,2,2,2,1,1.2705727202514943,-2.0003320144763825
7,1,2,5,1,1,0.7686060174400741,0.1879990710717924
8,1,2,1,2,1,0.12120314346806445,1.488073120725085
1,2,1,3,1,2,0.415794701817737,-0.9277378879794561
2,2,1,2,2,2,-2.9818075950823766,0.20003956576638365
3,2,1,4,1,2,0.18907722770436844,0.11531765260680478
4,2,1,5,2,2,-0.4559588958184083,0.13823321986345025
5,2,1,6,1,2,-0.758784083404448,-0.3297350828193104
6,2,1,5,2,2,0.4985336948993281,-0.9640523621457587
7,2,1,6,1,2,0.05539668974789384,1.018903099887236
8,2,1,1,2,2,-0.6250384280133038,-0.09061058747328529
1,2,2,3,1,2,0.34369462417418667,-1.1988226395511217
2,2,2,3,2,2,-0.4850435191155491,-1.904866684418413
3,2,2,7,1,2,1.4936100883301513,1.8790362093718158
4,2,2,4,2,2,0.7670023650317689,-0.23298416653252058
5,2,2,7,1,2,0.21901304769053345,0.22855223152086845
6,2,2,6,2,2,-1.577187554498269,-0.801072891769718
7,2,2,8,1,2,-0.15758407358894674,-0.09689293117779989
8,2,2,2,2,2,0.5545589272904449,0.5986993217147051
1,2,3,5,1,2,-0.10637490452097474,-0.11497172068583318
2,2,3,1,2,2,-0.707079155036563,-1.2559926934083345
3,2,3,6,1,2,0.18939535684150677,0.9972920450516254
4,2,3,5,2,2,-0.7479490257617417,-0.9561631767038801
5,2,3,5,1,2,-0.5040271453048283,-0.8400749233607654
6,2,3,4,2,2,-0.3985615218930825,-1.129148702248903
7,2,3,6,1,2,-0.41336408283163617,-0.07612483776367693
8,2,3,0,2,2,0.3763445741890224,-0.9645027535689648
1,2,4,4,1,2,1.1395829801434663,1.4535862690107448
2,2,4,4,2,2,-1.2274422248287933,1.217502383864851
3,2,4,5,1,2,-0.18405289541136508,-1.1480501013181583
4,2,4,5,2,2,1.4859259383742924,-1.367906178583079
5,2,4,7,1,2,-0.44211145269328844,-0.006345450983679812
6,2,4,4,2,2,0.7490619903947615,0.3654360017254433
7,2,4,7,1,2,1.4046932011631068,-0.08537052920483872
8,2,4,4,2,2,-0.4267911447982166,-0.9722586541975757
1,3,1,5,1,2,0.2670093693664907,2.126294483402324
2,3,1,4,2,2,0.5543799562825411,0.18414418417098344
3,3,1,8,1,2,-0.05986589011403299,0.02732427291647275
4,3,1,4,2,2,-0.921750959841522,1.230786805759282
5,3,1,8,1,2,2.025929863433648,-0.30784434937793526
6,3,1,5,2,2,-1.7911385649920637,-0.6185795971629601
7,3,1,7,1,2,-0.8714191562904857,2.698205072681618
8,3,1,7,2,2,-0.024669271637184003,-0.932786400093958
1,3,2,7,1,2,-0.5429893877715036,0.08833654741118203
2,3,2,6,2,2,2.66372372318185,-0.6693841769911336
3,3,2,7,1,2,3.3109346454961748,1.073076479011839
4,3,2,5,2,2,0.0321647090777052,0.3432180542580898
5,3,2,9,1,2,0.30229854055654665,0.4108275294619866
6,3,2,6,2,2,0.7040432803958041,1.2588379843913062
7,3,2,8,1,2,-0.3621119677267622,-1.1674511356283512
8,3,2,8,2,2,-1.3282468323124528,0.10013879472355713
